category, item, price, description
Starters, Paneer Tikka, 220, Grilled cottage cheese marinated in spiced yogurt
Starters, Veg Spring Rolls, 180, Crispy rolls with stir-fried vegetables
Starters, Chicken 65, 240, Spicy deep-fried chicken bites
Main Course, Butter Chicken, 320, Creamy tomato-based curry with tender chicken
Main Course, Dal Makhani, 260, Slow-cooked black lentils in butter and cream
Main Course, Paneer Butter Masala, 280, Cottage cheese in a rich tomato gravy
Breads, Butter Naan, 60, Soft leavened bread brushed with butter
Breads, Garlic Naan, 70, Naan topped with garlic and coriander
Beverages, Masala Chai, 50, Spiced Indian tea
Beverages, Cold Coffee, 120, Chilled coffee blended with ice cream
Desserts, Gulab Jamun, 90, Soft milk dumplings in sugar syrup
